dep_variable,Policy0,Policy1,Policy2,Policy3,Policy4,Policy5,Policy6,Policy7,Policy8,Policy9,Policy10,Policy11,Policy12,Policy13,Policy14,Policy15,Policy16,Policy17,Policy18,Policy19,Policy20,Policy21,Policy22,Policy23,Policy24,Policy25,Policy26,Policy27,Policy28,Policy29,Policy30,Policy31,Policy32,Policy33,Policy34,Policy35,Policy36,Policy37,Policy38,Policy39,Policy40,Policy41,Policy42,Policy43,Policy44,Policy45,Policy46,Policy47,Policy48,Policy49
0.083967745,0.0006343869,0.0004184007,-0.0003042468,-0.0001559502,0.0003712695,0.0002593289,0.0004195225,0.0003812923,0.0002178201,0.0001539417,0.0001887156,0.0001211422,-0.0001880826,-0.0003634384,-0.0001863462,-0.0001887112,-0.0003647751,0.0001247001,-0.0000612227,0.0005329286,0.0125435696,0.0003768706,0.0002930325,0.0003211551,0.0001918085,0.0001725275,0.0002031474,0.0002940353,-0.0005760065,-0.0004935037,-0.0003664830,-0.0004919360,-0.0003530353,-0.0004975479,-0.0003568847,-0.0003256047,-0.0003130088,-0.0003683297,-0.0003487143,-0.0002638417,-0.0004506193,-0.0004258310,-0.0004440105,-0.0004471104,-0.0004439666,-0.0002192275,-0.0003182189,-0.0003334754,-0.0004648963,-0.0003920413
-0.14846362,0.0004669719,0.0005226791,-0.0002301493,-0.0001901286,0.0004121252,0.0005168101,0.0005222400,0.0005808250,0.0003274217,0.0002516494,0.0003427378,0.0002712226,-0.0002167473,-0.0003397732,-0.0002314188,-0.0002230080,-0.0003445477,-0.0000711850,-0.0001433722,0.0000939508,0.0003768706,0.0022048251,0.0008666949,0.0005367840,0.0004408140,0.0003884904,0.0003292261,0.0006402468,-0.0005441963,-0.0004519911,-0.0003408269,-0.0004623422,-0.0003490007,-0.0004876401,-0.0003496536,-0.0003131105,-0.0002613979,-0.0003466346,-0.0003371772,-0.0002934592,-0.0004279195,-0.0004134019,-0.0004211664,-0.0004329718,-0.0004147693,-0.0002813841,-0.0003186638,-0.0003269523,-0.0004574232,-0.0003912811
0.007954764,0.0004674077,0.0005061590,-0.0002591068,-0.0002125520,0.0003638092,0.0004548811,0.0004697462,0.0005045000,0.0002980438,0.0001991368,0.0003588974,0.0002617076,-0.0002406600,-0.0003606118,-0.0002268160,-0.0002417431,-0.0003716539,-0.0000796105,-0.0001440166,0.0001223302,0.0002930325,0.0008666949,0.0041376035,0.0008711143,0.0002969288,0.0002794479,0.0002390031,0.0004470103,-0.0005679244,-0.0004722644,-0.0003611048,-0.0004884952,-0.0003664885,-0.0005027550,-0.0003761860,-0.0003450519,-0.0002898114,-0.0003673161,-0.0003628816,-0.0003139967,-0.0004477571,-0.0004293743,-0.0004351933,-0.0004443421,-0.0004313476,-0.0002984404,-0.0003392351,-0.0003427024,-0.0004726889,-0.0004090034
0.021569364,0.0003657837,0.0004075166,-0.0002746849,-0.0002394977,0.0002869006,0.0002922460,0.0003397362,0.0003597575,0.0002935959,0.0001373747,0.0006926302,0.0003816373,-0.0002562486,-0.0004032191,-0.0002385635,-0.0002575035,-0.0003850100,-0.0000647047,-0.0001633435,0.0003542683,0.0003211551,0.0005367840,0.0008711143,0.0049905669,0.0002261021,0.0001860831,0.0001487373,0.0003305698,-0.0005866844,-0.0004744912,-0.0003795550,-0.0004918838,-0.0003560460,-0.0005103719,-0.0003800389,-0.0003386939,-0.0003165577,-0.0003636811,-0.0003684813,-0.0003023776,-0.0004554835,-0.0004346087,-0.0004380409,-0.0004491096,-0.0004242142,-0.0003056389,-0.0003314983,-0.0003458566,-0.0004619957,-0.0003901500
-0.053025004,0.0002306732,0.0002521337,-0.0003494879,-0.0002689994,0.0004976598,0.0003961066,0.0004585527,0.0005216611,0.0002883874,0.0000637725,0.0001025184,0.0000775051,-0.0003129525,-0.0004332594,-0.0003410554,-0.0003386619,-0.0004404069,-0.0001925310,-0.0002935218,-0.0000467487,0.0001918085,0.0004408140,0.0002969288,0.0002261021,0.0169128275,0.0035925241,0.0027683187,0.0014009985,-0.0005521563,-0.0005083864,-0.0003916571,-0.0005440055,-0.0004184629,-0.0005524514,-0.0004302188,-0.0003993182,-0.0003569540,-0.0004255094,-0.0004009081,-0.0003039761,-0.0004848182,-0.0004666888,-0.0004772450,-0.0004889113,-0.0004757902,-0.0003462473,-0.0003453714,-0.0003674890,-0.0005058172,-0.0004284165
0.037943896,0.0002115546,0.0002484343,-0.0003609720,-0.0002677282,0.0004077017,0.0003639875,0.0004238032,0.0004769998,0.0002281233,0.0000292439,0.0000626214,0.0000449493,-0.0003355626,-0.0004568084,-0.0003456134,-0.0003355826,-0.0004463981,-0.0001782189,-0.0002883391,-0.0000563481,0.0001725275,0.0003884904,0.0002794479,0.0001860831,0.0035925241,0.0079370982,0.0044486125,0.0010408885,-0.0006106275,-0.0005315873,-0.0004205273,-0.0005490864,-0.0004045517,-0.0005497839,-0.0004321311,-0.0003976962,-0.0003731336,-0.0004276281,-0.0004079527,-0.0003180746,-0.0004808255,-0.0004697668,-0.0004685547,-0.0004817895,-0.0004625217,-0.0003525632,-0.0003682707,-0.0003747031,-0.0004981428,-0.0004177678
-0.10192095,0.0001733280,0.0002101648,-0.0004156630,-0.0003345728,0.0004150968,0.0002950654,0.0003792866,0.0004125211,0.0001998489,-0.0000368134,0.0000381586,0.0000267529,-0.0003659853,-0.0004940650,-0.0003981459,-0.0003959891,-0.0005019324,-0.0002464545,-0.0003493506,-0.0001197836,0.0002031474,0.0003292261,0.0002390031,0.0001487373,0.0027683187,0.0044486125,0.0193174456,0.0011799136,-0.0006724543,-0.0005821220,-0.0004706149,-0.0005968791,-0.0004069031,-0.0006026398,-0.0004792016,-0.0004521859,-0.0004259698,-0.0004785736,-0.0004610030,-0.0003285883,-0.0005237044,-0.0005082660,-0.0005140822,-0.0005207885,-0.0005022600,-0.0003918809,-0.0004098935,-0.0004108428,-0.0005438441,-0.0004615141
-0.11510174,0.0003801827,0.0004158906,-0.0003081827,-0.0002257011,0.0004285948,0.0003809249,0.0004384815,0.0005424815,0.0003417146,0.0001353116,0.0001814319,0.0001566681,-0.0002490006,-0.0003765430,-0.0002861929,-0.0002671682,-0.0003959701,-0.0000941959,-0.0002160368,0.0000491491,0.0002940353,0.0006402468,0.0004470103,0.0003305698,0.0014009985,0.0010408885,0.0011799136,0.0086566911,-0.0005696010,-0.0004322582,-0.0003685352,-0.0005079816,-0.0003917582,-0.0005133885,-0.0003978607,-0.0003614596,-0.0003143163,-0.0003890251,-0.0003839063,-0.0003101064,-0.0004573799,-0.0004485066,-0.0004529873,-0.0004667760,-0.0004468946,-0.0003202626,-0.0003476526,-0.0003569822,-0.0004856293,-0.0004037443
0.11614606,-0.0005562050,-0.0005871265,-0.0004138223,-0.0003819883,-0.0004007633,-0.0004359261,-0.0004675016,-0.0004066443,-0.0004799333,-0.0003407570,-0.0005911972,-0.0005492361,-0.0002702955,-0.0001518063,-0.0004295562,-0.0004713364,-0.0001327155,-0.0005295703,-0.0004819210,-0.0006498617,-0.0005760065,-0.0005441963,-0.0005679244,-0.0005866844,-0.0005521563,-0.0006106275,-0.0006724543,-0.0005696010,0.0145001590,0.0016177930,0.0006008454,0.0000065522,-0.0001319518,-0.0000980644,-0.0003195929,-0.0003205749,-0.0003346573,-0.0003005172,-0.0003000992,-0.0000707038,-0.0002542497,-0.0001248643,-0.0002246935,-0.0002821184,-0.0003014147,-0.0001707551,-0.0002495926,-0.0002422835,-0.0002990694,-0.0002599961
0.045243692,-0.0004415841,-0.0004707678,-0.0002882265,-0.0000842632,-0.0002378692,-0.0003271909,-0.0003583356,-0.0002661498,-0.0003238466,-0.0001808464,-0.0004961331,-0.0004694815,-0.0000693482,0.0000569441,-0.0003931618,-0.0003822585,0.0001473933,-0.0004251102,-0.0004434971,-0.0005574174,-0.0004935037,-0.0004519911,-0.0004722644,-0.0004744912,-0.0005083864,-0.0005315873,-0.0005821220,-0.0004322582,0.0016177930,0.0181088387,0.0011834243,0.0001049851,-0.0001702226,-0.0002240078,-0.0002882767,-0.0002484409,-0.0002599767,-0.0002202995,-0.0002254143,-0.0000335148,-0.0003338732,-0.0002639205,-0.0002668477,-0.0003356814,-0.0003528247,-0.0001572471,-0.0002453758,-0.0002290827,-0.0003804329,-0.0003451978
